County,url
"Antrim","https://antrimandnewtownabbey.gov.uk/"
"Down","https://www.newrymournedown.org/"
"LondonDerry","https://www.derrystrabane.com/"
"Tipperary","https://www.tipperarycoco.ie/"
"Carlow","https://www.carlow.ie/"
"Dublin","https://www.dublincity.ie/council"
"Kildare","https://kildarecoco.ie/"
"Kilkenny","https://www.kilkennycoco.ie/eng/"
"Laois","https://laois.ie/"
"Longford","https://www.longfordcoco.ie/"
"Armagh","https://www.armaghbanbridgecraigavon.gov.uk/"
"Louth","https://www.louthcoco.ie/en/"
"Meath","https://www.meath.ie/"
"Offaly","https://www.offaly.ie/"
"Westmeath","https://www.westmeathcoco.ie/en/"
"Wexford","https://www.wexfordcoco.ie/"
"Wicklow","https://www.wicklow.ie/"
"Clare","https://www.clarecoco.ie/"
"Cork","https://www.corkcoco.ie/en"
"Kerry","https://www.kerrycoco.ie/"
"Limerick","https://www.limerick.ie/council"
"Waterford","https://www.waterfordcouncil.ie/"
"Galway","https://www.galway.ie/en/"
"Tyrone","https://www.fermanaghomagh.com/"
"Fermanagh","https://www.fermanaghomagh.com/"
"Leitrim","https://leitrimcoco.ie/eng/"
"Mayo","https://www.mayo.ie/"
"Roscommon","https://www.roscommoncoco.ie/en/"
"Sligo","https://www.sligococo.ie/"
"Cavan","https://www.cavancoco.ie/"
"Donegal","https://www.donegalcoco.ie/"
"Monaghan","https://monaghan.ie/"
